,EN,JP
EVIL_GUY_NAME,Dr. Ineptus,イーネプタス博士
EVIL_GUY_NAME_CASUAL,Ineptus,イーネプタス
EVIL_GUY_NAME_PORTRAIT,Dr. Ineptus,イーネプタス博士
HQ_NAME,HQ,キカン
NO_NAME,,
QUESTION_MARKS_NAME,???,？？？
SR_AGENT_NAME,Dirigo,ディリーゴ
SR_AGENT_NAME_CUTOFF,Dir,ディ
SR_AGENT_NAME_PORTRAIT,Agent Dirigo,AGENTディリーゴ
SR_AGENT_NAME_UNKNOWN_OLD,Old Man?,じいじい？
,,
TimeDust_DSUBTEXT,time dust,time dust
S1_D0-1_C1_DSUBTEXT,*ring* *ring*,リンリンリリ～ン、リ～リリリリ～ン
S1_D1_C1_DSUBTEXT,Hello?,もしもし？
S1_D2_C1_DSUBTEXT,Agent ,ご苦労、AGENT 
S3_D2_C1_DSUBTEXT,. This is HQ. We have new intel on ,。『キカン』から次の任務だ。
S5_D2_C1_DSUBTEXT,. You'll need to set out right away.,の場所が見つかった。
S1_D3_C1_DSUBTEXT,It's about time. Been a few weeks since he broke out of prison. What's he plotting now?,やっとか。あいつの脱獄が久しぶりな。今度はどこ?
S1_D4_C1_DSUBTEXT,Based on his recent purchases; it seems he is constructing some sort of missile or rocket. We are not sure what he intends to use it for; but whatever it is; it can not be good.,彼はまた何かを多絡んでいる。理由は不明だが大きなミサイル部品を買った。違和感しかない。
S1_D7_C1_DSUBTEXT,We've discovered the entrance to his newest hideout deep in the mountains. Sending you the coordinates now.,最新の秘密研究所は山奥にある。今座標を送信している。
S1_D8_C1_DSUBTEXT,Coordinates received. Heading there now.,座標は確認した。出発する。
S1_D9_C1_DSUBTEXT,One last piece of information Agent ,待ってAGENT
S3_D9_C1_DSUBTEXT,.,;それだけじゃない。
S1_D10_C1_DSUBTEXT,The organization has assigned its newest recruit to you. You will need to train them to use your ,『キカン』は新入りを雇われた。MISSIONを完成するながらその子をしっかり導けな。
S3_D10_C1_DSUBTEXT, while battling ,を使えるようとか
S5_D10_C1_DSUBTEXT,.,を倒す方とか。
S1_D11_C1_DSUBTEXT,Giving me a handicap? Well; it should be easy enough for someone like me.,仕事を増やすき？まあ、別にいい。俺みたいなAGENTには大したことじゃね。
S1_D12_C1_DSUBTEXT,What's their name?,あの子の名前は？
S2_D14_C1_DSUBTEXT,? Alright; I'll be sure to whip them into shape. Have them meet me outside ,くんか？よし、
S4_D14_C1_DSUBTEXT,'s hideout.,の秘密研究所の外に会おう。
S1_D2_C2_DSUBTEXT,Hey Newbie; over here!,おい！こっちだ！
S1_D4_C2_DSUBTEXT,I'm Agent ,AGENT
S3_D4_C2_DSUBTEXT,. You're ,だ。まあ君はもう知っているけどな。ファンでしょう？君は運がいい。今日だけに
S5_D4_C2_DSUBTEXT, right? I'll be showing you the ropes today.,くんが俺の弟子だ。
S1_D5_C2_DSUBTEXT,You must be a promising recruit for HQ to send you to study under me. My ,『キカン』は君に期待している、たぶん。大体俺の
S3_D5_C2_DSUBTEXT, can be a difficult one for greenies to use.,は他人に難しいすぎる。
S1_D6_C2_DSUBTEXT,Well; the best way to learn is to do. Let's get in there. Follow me.,体験は最の練習だ。ついてこい。
S1_D2_C3_DSUBTEXT,A turret!,ターレットだ！
S2_D2_C3_DSUBTEXT, ,
S3_D2_C3_DSUBTEXT,This is a perfect opportunity to learn how to use the ,
S5_D2_C3_DSUBTEXT,. Here take it.,を使えるチャンスよ。ほら、受けて。
S1_D5_S3_DSUBTEXT,The ,
S3_D5_S3_DSUBTEXT, can rewind time and it will activate when you're in danger.,は危機感ときに時間を止まる。
S1_D6_S3_DSUBTEXT,Basically; you're immortal now. You're welcome.,予習と無敵よ。すごいでしょう？
S1_D7_C3_DSUBTEXT,Let's head over to the ,
S3_D7_C3_DSUBTEXT, on the far side of the room. Don't worry if you mess up; the ,に向かう。
S5_D7_C3_DSUBTEXT, will keep you safe.,が守ってみせる。
S1_D8_C3_DSUBTEXT,Don't worry about me. I'm the best of the best. I can dodge a few bullets.,俺なら心配しないで。最高のAGENTだ。かわすのは簡単。
